inputs,target
context : i tell jokes on stage. @ path_tailentity : date,joke atlocation meeting _usedfor lady isa new woman similarto new woman hasa date
context : i tell jokes on stage. @ path_tailentity : date,joke atlocation meeting _usedfor lady _instanceof new woman similarto get lot _hasprerequisite date
context : i tell jokes on stage. @ path_tailentity : girl,joke atlocation meeting _usedfor lady similarto new woman isa new woman similarto girl
context : i tell jokes on stage. @ path_tailentity : date,stage atlocation meeting _usedfor lady isa new woman similarto new woman hasa date
context : i tell jokes on stage. @ path_tailentity : date,joke ca_usedfordesire talk _desires woman person hasa date
context : i tell jokes on stage. @ path_tailentity : date,joke _notdesires woman person capableof talk _ca_usedfordesire date
context : i tell jokes on stage. @ path_tailentity : girl,joke ca_usedfordesire talk _desires woman person _instanceof girl
context : i tell jokes on stage. @ path_tailentity : date,stage usedfor talk _desires woman person capableof date
context : i tell jokes on stage. @ path_tailentity : date,stage _atlocation woman person capableof talk _ca_usedfordesire date
context : i enjoy eating to match my work out. @ path_tailentity : candy,match usedfor food keep isa candy
context : i enjoy eating to match my work out. @ path_tailentity : candy,enjoy _usedfor food keep isa candy
context : i enjoy eating to match my work out. @ path_tailentity : candy,match atlocation body usedfor eat healthy be _hasprerequisite not eat_capableof candy
context : i enjoy eating to match my work out. @ path_tailentity : candy,enjoy _hasprerequisite eat healthy be haslastsubevent not eat_capableof body _partof candy
context : i enjoy eating to match my work out. @ path_tailentity : candy,enjoy _hasprerequisite eat healthily hasfirstsubevent not eat_capableof body _partof candy
context : i enjoy eating to match my work out. @ path_tailentity : candy,enjoy eat _motivatedbygoal eat healthy be hasprerequisite not eat_capableof not eat_capableof body _partof candy
context : i enjoy eating to match my work out. @ path_tailentity : candy,enjoy eat _motivatedbygoal eat healthy be hasprerequisite not eat_capableof not eat_capableof sweet _hasproperty candy
context : i enjoy eating to match my work out. @ path_tailentity : candy,match hascontext protein similarto exercise hasfirstsubevent look _atlocation candy
context : i enjoy eating to match my work out. @ path_tailentity : candy,match hascontext protein _motivatedbygoal exercise hasprerequisite look _ca_usedfordesire candy
context : i enjoy eating to match my work out. @ path_tailentity : candy,enjoy _motivatedbygoal exercise hasprerequisite look isa protein _hascontext candy
context : i enjoy eating to match my work out. @ path_tailentity : candy,enjoy eat _motivatedbygoal exercise hasprerequisite look hascontext protein _usedfor candy
context : i enjoy eating to match my work out. @ path_tailentity : candy,enjoy eat _motivatedbygoal eat _hassubevent exercise hasprerequisite look isa candy
context : i work as a scientist. @ path_tailentity : parent,scientist desires experiment _hassubevent think motivatedbygoal career _instanceof career _usedfor parent
