inputs,target
"That sounds like it would be really scary. Do you live near a beach? I don't like them. I do live near the beach, but I'm not a big fan of them either. What do you do for a living? I want to be an actress someday. ","I work at a grocery store as a cashier. It's not the most glamorous job in the world, but it pays the bills."
I agree.  I like mine with chocolate syrup and vanilla ice cream.  How about you? I like it with cookie dough or cookies and cream. It's so good! I love it with a strawberry shortcake or chocolate chip cookie shake. ,That sounds really good. I'll have to try that sometime. Do you have a favorite ice cream flavor?
I love it with a strawberry shortcake or chocolate chip cookie shake. That sounds really good. I'll have to try that sometime. Do you have a favorite ice cream flavor? I like mint chocolate chip the best.  What is your favorite flavor of ice cream? ,I really like cookie dough ice cream. It's so sweet and creamy. What's your favorite?
I love it with a strawberry shortcake or chocolate chip cookie shake. That sounds really good. I'll have to try that sometime. Do you have a favorite ice cream flavor? I like mint chocolate chip the best.  What is your favorite flavor of ice cream? ,I really like cookie dough ice cream. It's so sweet and creamy. What's your favorite?
"I haven't seen the new one yet, but I'm looking forward to it as well. It's going to be great! I'm excited to see how the new movie will compare to the old one. I hope it's as good as the first one. It's been so long since I've seen it. ",I'm sure it will be just as good. The first one was one of my favorite movies as a kid.
I hope it's as good as the first one. It's been so long since I've seen it. I'm sure it will be just as good. The first one was one of my favorite movies as a kid. I loved that movie too. I can't wait to see it. I hope they do a good job. ,"I hope so too, it's been a long time since they made a sequel to that one."
"I have two brothers and two sisters. It was hard at first, but you get used to it. That's good to hear.  What do you do for fun?  I like to play video games. I like playing video games as well. What is your favorite genre of video games to play? ",I really like first person shooters.  Do you have a favorite game that you play a lot?
"You should give it a try, it's a lot of fun. It's a great workout. I'll have to look into it. I'm always looking for new ways to stay in shape. It's not hard to do, you just need to find a routine and stick to it. ",That's good to hear. I think I'll try it out this weekend. Thanks for the encouragement!
"That sounds really good. I'll have to try that next time I'm craving a burrito. Burritos are my favorite food, I could eat them every day of the week if I could. I've never had one of those before. Do they have a lot of meat in them? ","Yes, it is a Mexican dish consisting of a corn or wheat tortilla folded or rolled around a filling."
"I've never had one of those before. Do they have a lot of meat in them? Yes, it is a Mexican dish consisting of a corn or wheat tortilla folded or rolled around a filling. That sounds really good. I love mexican food. Do you have a favorite kind of burrito? ","I love the Chipotle quesadillas, they are my favorite fast food burritos."
"I've never had one of those before. Do they have a lot of meat in them? Yes, it is a Mexican dish consisting of a corn or wheat tortilla folded or rolled around a filling. That sounds really good. I love mexican food. Do you have a favorite kind of burrito? ","I love the Chipotle quesadillas, they are my favorite fast food burritos."
"That sounds really good. I love mexican food. Do you have a favorite kind of burrito? I love the Chipotle quesadillas, they are my favorite fast food burritos. I have never had one of those, but I have heard of them. They are a fast food chain that specializes in Mexican cuisine. ","They are really good, they have been around since 1972, they were founded in San Bernardino, California."
"I don't have a lot of spare time, but I do like to play video games. Do you have any hobbies? Video games are fun. I like to read books and watch movies. What about you? I don't really have much time for hobbies. I spend most of my time studying. ",That's too bad. What are you studying? Are you in college or high school?
I don't really have much time for hobbies. I spend most of my time studying. That's too bad. What are you studying? Are you in college or high school? I am a senior in high school. I am studying business administration. What do you do? ,I'm a student too. I'm studying to be an accountant. What kind of business do you want to be in?
"Whiskey is my favorite alcoholic beverage. Do you have a favorite type of whisky? I don't have a specific type, but I do enjoy a good single malt scotch. Single malt Scotch is one of my favorites as well. I like that it is aged in wooden casks. ","I agree, it's a great blend of malt and grain mash."
"Whiskey is my favorite alcoholic beverage. Do you have a favorite type of whisky? I don't have a specific type, but I do enjoy a good single malt scotch. Single malt Scotch is one of my favorites as well. I like that it is aged in wooden casks. ","I agree, it's a great blend of malt and grain mash."
"Single malt Scotch is one of my favorites as well. I like that it is aged in wooden casks. I agree, it's a great blend of malt and grain mash. Yes, it is. It is made from fermented grains like barley, rye, and wheat. ","That's right, it was first made in Scotland in the late 19th century."
"Single malt Scotch is one of my favorites as well. I like that it is aged in wooden casks. I agree, it's a great blend of malt and grain mash. Yes, it is. It is made from fermented grains like barley, rye, and wheat. ","That's right, it was first made in Scotland in the late 19th century."
"That's great! I love cats, but I'm allergic to them so I can't have one. Oh no! I'm sorry to hear that. Do you have any other pets? I love them too, but I don't think I could live with one as a pet. ","I know what you mean. They can be a lot of work, but it's worth it in the end."
"It's the Kentucky Longhorns. I'm so proud of them. I'm not a big football fan, but I know they're a good team.  What do you like about them? I like the fact that they play in the National Football League (NFL) ",I didn't know that.  Are you a fan of any other teams in the NFL?
"It's the Kentucky Longhorns. I'm so proud of them. I'm not a big football fan, but I know they're a good team.  What do you like about them? I like the fact that they play in the National Football League (NFL) ",I didn't know that.  Are you a fan of any other teams in the NFL?
I like the fact that they play in the National Football League (NFL) I didn't know that.  Are you a fan of any other teams in the NFL? I am a big fan of the Seattle Seahawks. They are an American professional football team based in Washington D.C. ,"That's cool.  I don't know much about the NFL, but I do know that Seattle is the most populous city in the state of Washington."
"I am a big fan of the Seattle Seahawks. They are an American professional football team based in Washington D.C. That's cool.  I don't know much about the NFL, but I do know that Seattle is the most populous city in the state of Washington. Yes it is. It is also the seat of King County, WA. ",I didn't know that.  Do you think they will win the Super Bowl this year?
"I am a big fan of the Seattle Seahawks. They are an American professional football team based in Washington D.C. That's cool.  I don't know much about the NFL, but I do know that Seattle is the most populous city in the state of Washington. Yes it is. It is also the seat of King County, WA. ",I didn't know that.  Do you think they will win the Super Bowl this year?
